DATA;HORARIO;MANDANTE;RESULTADO;VISITANTE; PUBLICO ;LOCAL
13/04/2024;18:30;Criciuma;1X1;Juventude; 12.804 ;Estadio Heriberto Hulse
13/04/2024;18:30;Internacional;2X1;Bahia; 19.103 ;Estadio Jose Pinheiro Borba
14/04/2024;16:00;Ath Paranaense;4X0;Cuiaba; 21.388 ;Ligga Arena
14/04/2024;16:00;Vasco da Gama;2X1;Gremio; 17.722 ;Estadio Club de Regatas Vasco da Gama
14/04/2024;16:00;Corinthians;0X0;Atletico Mineiro; 44.285 ;Neo Quimica Arena
14/04/2024;16:00;Atl Goianiense;1X2;Flamengo; 31.617 ;Estadio do Governo do Estado de Goias
14/04/2024;17:00;Cruzeiro;3X2;Botafogo (RJ); 20.701 ;Estadio Governador Magalhaes  Pinto
14/04/2024;18:30;Vitoria;0X1;Palmeiras; 30.644 ;Estadio Manoel Barradas
13/04/2024;21:00;Fluminense;2X2;RB Bragantino; 17.645 ;Estadio Jornalista Mario Filho
13/04/2024;21:00;Sao Paulo;1X2;Fortaleza; 35.055 ;Estadio do Morumbi
17/04/2024;19:00;Gremio;2X0;Ath Paranaense; 13.236 ;Arena do Gremio
17/04/2024;19:00;RB Bragantino;2X1;Vasco da Gama; 5.448 ;Estadio Nabi Abi Chedid
17/04/2024;20:00;Juventude;2X0;Corinthians; 7.478 ;Estadio Alfredo Jaconi
17/04/2024;20:00;Atletico Mineiro;1X1;Criciuma; 21.726 ;Arena MRV
17/04/2024;20:00;Palmeiras;0X1;Internacional; 13.464 ;Allianz Parque
17/04/2024;20:00;Fortaleza;1X1;Cruzeiro; 21.726 ;Estadio Castelao
16/04/2024;21:30;Bahia;2X1;Fluminense; 2.308 ;Itaipava Arena Fonte Nova
17/04/2024;21:30;Flamengo;2X1;Sao Paulo; 45.166 ;Estadio Jornalista Mario Filho
18/04/2024;21:30;Botafogo (RJ);1X0;Atl Goianiense; 7.801 ;Estadio Nilton Santos
20/04/2024;16:00;Fluminense;2X1;Vasco da Gama; 25.842 ;Estadio Jornalista Mario Filho
20/04/2024;18:30;RB Bragantino;1X0;Corinthians; 9.466 ;Estadio Nabi Abi Chedid
20/04/2024;18:30;Gremio;1X0;Cuiaba; 22.904 ;Arena do Gremio
21/04/2024;16:00;Vitoria;2X2;Bahia; 27.609 ;Estadio Manoel Barradas
21/04/2024;16:00;Palmeiras;0X0;Flamengo; 29.956 ;Allianz Parque
21/04/2024;16:00;Ath Paranaense;1X0;Internacional; 29.784 ;Ligga Arena
21/04/2024;18:30;Atl Goianiense;0X3;Sao Paulo; 8.024 ;Estadio Antonio Accioly
21/04/2024;18:30;Botafogo (RJ);5X1;Juventude; 13.273 ;Estadio Municipal NiltonSantos
20/04/2024;21:00;Atletico Mineiro;3X0;Cruzeiro; 39.541 ;Arena MRV
27/04/2024;16:00;Vasco da Gama;0X4;Criciuma; 17.124 ;Estadio Club de Regatas Vasco da Gama
27/04/2024;17:30 (18:30);Cuiaba;0X3;Atletico Mineiro; 6.711 ;Arena Pantanal
28/04/2024;11:00;Flamengo;0X2;Botafogo (RJ); 53.683 ;Estadio Jornalista Mario Filho
28/04/2024;16:00;Cruzeiro;3X1;Vitoria; 20.083 ;Estadio Governador Magalhaes  Pinto
28/04/2024;16:00;Corinthians;3X0;Fluminense; 42.119 ;Neo Quimica Arena
28/04/2024;18:30;Fortaleza;1X1;RB Bragantino; 18.113 ;Estadio Castelao
28/04/2024;18:30;Juventude;1X1;Ath Paranaense; 5.032 ;Estadio Alfredo Jaconi
28/04/2024;20:00;Internacional;1X1;Atl Goianiense; 28.468 ;Estadio Jose Pinheiro Borba
27/04/2024;21:00;Bahia;1X0;Gremio; 35.836 ;Itaipava Arena Fonte Nova
29/04/2024;20:00;Sao Paulo;0X0;Palmeiras; 55.694 ;Estadio do Morumbi
04/05/2024;16:00;Fluminense;2X2;Atletico Mineiro; 5.168 ;Estadio Kleber Jose de Andrade
04/05/2024;18:30;RB Bragantino;1X1;Flamengo; 9.917 ;Estadio Nabi Abi Chedid
05/05/2024;16:00;Vitoria;1X3;Sao Paulo; 25.739 ;Estadio Manoel Barradas
05/05/2024;16:00;Ath Paranaense;1X0;Vasco da Gama; 31.192 ;Ligga Arena
05/05/2024;17:30 (18:30);Cuiaba;0X2;Palmeiras; 10.781 ;Arena Pantanal
05/05/2024;18:30;Botafogo (RJ);1X2;Bahia; 22.685 ;Estadio Nilton Santos
04/05/2024;21:00;Corinthians;0X0;Fortaleza; 42.456 ;Neo Quimica Arena
11/05/2024;16:00;Flamengo;2X0;Corinthians; 56.829 ;Estadio Jornalista Mario Filho
12/05/2024;16:00;Palmeiras;0X2;Ath Paranaense; 12.108 ;Arena Barueri
12/05/2024;16:00;Atl Goianiense;0X1;Cruzeiro; 7.576 ;Estadio Antonio Accioly
12/05/2024;16:00;Fortaleza;1X1;Botafogo (RJ); 15.914 ;Estadio Castelao
12/05/2024;18:30;Bahia;1X0;RB Bragantino; 3.682 ;Itaipava Arena Fonte Nova
12/05/2024;18:30;Vasco da Gama;2X1;Vitoria; 11.084 ;Estadio Club de Regatas Vasco da Gama
13/05/2024;20:00;Sao Paulo;2X1;Fluminense; 39.515 ;Estadio do Morumbi
01/06/2024;16:00;Vitoria;0X2;Atl Goianiense; 16.008 ;Estadio Manoel Barradas
01/06/2024;16:00;Gremio;0X2;RB Bragantino; 7.563 ;Estadio Major Antonio Couto Pereira
01/06/2024;17:30 (18:30);Cuiaba;0X1;Internacional; 5.747 ;Arena Pantanal
01/06/2024;18:30;Fluminense;1X1;Juventude; 21.037 ;Estadio Jornalista Mario Filho
02/06/2024;16:00;Criciuma;1X2;Palmeiras; 19.027 ;Estadio Heriberto Hulse
02/06/2024;16:00;Atletico Mineiro;1X1;Bahia; 37.994 ;Arena MRV
02/06/2024;16:00;Vasco da Gama;1X6;Flamengo; 62.228 ;Estadio Jornalista Mario Filho
02/06/2024;18:30;Sao Paulo;2X0;Cruzeiro; 44.928 ;Estadio do Morumbi
02/06/2024;18:30;Fortaleza;1X0;Ath Paranaense; 12.191 ;Estadio Municipal Presidente Getulio Var...
01/06/2024;21:00;Corinthians;0X1;Botafogo (RJ); 41.281 ;Neo Quimica Arena
05/06/2024;19:00 (20:00);Cuiaba;0X0;Vitoria; 3.614 ;Arena Pantanal
05/06/2024;19:00;Juventude;1X0;Atl Goianiense; 5.123 ;Estadio Alfredo Jaconi
09/06/2024;16:00;Criciuma;2X5;Cuiaba; 13.846 ;Estadio Heriberto Hulse
11/06/2024;19:00;Juventude;1X1;Vitoria; 6.186 ;Estadio Alfredo Jaconi
11/06/2024;19:00;Atl Goianiense;2X2;Corinthians; 1.208 ;Estadio Antonio Accioly
11/06/2024;20:00;Botafogo (RJ);1X0;Fluminense; 27.239 ;Estadio Nilton Santos
11/06/2024;21:30;RB Bragantino;1X2;Atletico Mineiro; 4.617 ;Estadio Nabi Abi Chedid
13/06/2024;19:00;Cruzeiro;2X1;Cuiaba; 26.595 ;Estadio Governador Magalhaes  Pinto
13/06/2024;20:00;Flamengo;2X1;Gremio; 51.785 ;Estadio Jornalista Mario Filho
13/06/2024;20:00;Internacional;0X0;Sao Paulo; 17.987 ;Estadio Heriberto Hulse
13/06/2024;20:00;Ath Paranaense;3X1;Criciuma; 23.424 ;Ligga Arena
13/06/2024;21:30;Bahia;1X0;Fortaleza; 29.889 ;Itaipava Arena Fonte Nova
13/06/2024;21:30;Palmeiras;2X0;Vasco da Gama; 37.641 ;Allianz Parque
15/06/2024;18:30;RB Bragantino;2X1;Juventude; 3.338 ;Estadio Nabi Abi Chedid
16/06/2024;16:00;Vitoria;2X1;Internacional; 14.251 ;Estadio Manoel Barradas
16/06/2024;16:00;Corinthians;2X2;Sao Paulo; 46.129 ;Neo Quimica Arena
16/06/2024;16:00;Ath Paranaense;1X1;Flamengo; 38.641 ;Ligga Arena
16/06/2024;17:30 (18:30);Cuiaba;5X0;Fortaleza; 4.474 ;Arena Pantanal
16/06/2024;18:30;Criciuma;2X2;Bahia; 8.661 ;Estadio Heriberto Hulse
16/06/2024;18:30;Gremio;1X2;Botafogo (RJ); 15.595 ;Estadio Kleber Jose de Andrade
16/06/2024;18:30;Vasco da Gama;0X0;Cruzeiro; 11.275 ;Estadio Club de Regatas Vasco da Gama
